chain_id,sub_chain_id,store_id,item_status,allow_discount,price,unit_of_measure,unit_of_measure_price,is_weighted,quantity,quantity_unit,quantity_in_package,manufacturer_item_description,manufacture_country,manufacturer_name,name,item_type,code,price_date
7290027600007,001,001,1,true,29.9,100 גרם,1.99,false,1500.0,גרמים,0,נקניקיות ג'מבו,IL,זוגלובק,"נקניקיות ג'מבו 1.5 ק""ג",1,7290012226991,2022-09-30 00:30
7290027600007,001,001,0,true,13.9,100 גרם,6.47,false,215.0,גרמים,1,מיקס זיתים,IL,קבוצת יבנה,מיקס זיתים המסיק 215 גרם,1,7290012313417,2022-09-30 01:05
7290027600007,001,001,0,true,26.9,"100 מ""ל",3.85,false,700.0,מיליליטרים,0,קרם גוף,IL,פישר מעבדות פרמצבטיות בע,ק.גוף אפקטיב קר שיבול700,1,7290012367700,2022-09-30 00:30
7290027600007,001,001,1,true,94.9,"100 מ""ל",12.65,false,750.0,מיליליטרים,1,רוסו לוריא,IL,חדד את סיידא,"רוסו לוריא 750 מ""ל",1,7290012798214,2022-09-30 00:25
7290027600007,001,001,1,true,18.9,"100 מ""ל",2.52,false,750.0,מיליליטרים,0,מקסימה פרפיום,IL,סנו מפעלי ברונוס בעמ,מ.מקסימה פרפיום קריסט750,1,7290012823947,2022-09-30 00:25
7290027600007,001,001,1,true,61.9,100 גרם,8.84,false,700.0,גרמים,0,מטרנה אקסטרה קר,IL,מטרנה תעשיות ש.מ,מטרנה אקסטרה קר שלב1 700,1,7290013083661,2022-09-30 01:05
7290027600007,001,001,0,true,61.9,100 גרם,8.84,false,700.0,גרמים,0,מטרנה אקסטרה קר,IL,מטרנה תעשיות ש.מ,מטרנה אקסטרה קר שלב3 700,1,7290013083685,2022-09-30 01:05
7290027600007,001,001,1,true,18.9,100 גרם,4.11,false,460.0,גרמים,0,רביעיית לחמניות,IL,,רביעיית לחמניות,1,7290013121158,2022-09-30 00:25
7290027600007,001,001,0,true,18.9,100 גרם,4.11,false,460.0,גרמים,0,לחמניות נקניקיה,IL,,לחמניות נקניקיה,1,7290013121165,2022-09-30 01:05
7290027600007,001,001,0,true,4.5,100 גרם,2.25,false,200.0,גרמים,1,קורנפלור,IL,א.ל ייצור ושיווק תבלינים,קורנפלור 200 גרם,1,7290013145970,2022-09-30 01:05
7290027600007,001,001,0,true,19.7,100 גרם,5.63,false,350.0,גרמים,1,אייס קפה,IL,---,אייס קפה 350 גרם,1,7290013146724,2022-09-30 01:05
7290027600007,001,001,1,true,14.9,יחידה,14.9,false,1.0,יחידה,0,מיקס פטריות יער,IL,חוות שמפניון,פטריות יער,1,7290013215062,2022-09-30 01:05
7290027600007,001,001,1,true,12.9,יחידה,12.9,false,1.0,יחידה,1,פטריות מלך היער,IL,חוות שמפניון,פטריות מלך היער ארוז,1,7290013215093,2022-09-30 01:05
7290027600007,001,001,1,true,31.9,"100 מ""ל",4.25,false,750.0,מיליליטרים,0,סנו K333,IL,,סנו K333,1,7290013269911,2022-09-30 00:30
7290027600007,001,001,1,true,14.8,100 גרם,9.87,false,150.0,גרמים,0,שבבי בצל מטוגן,NL,טופ טייטס,שבבי בצל מטוגן 150גרם,1,7290013358523,2022-09-30 01:05
7290027600007,001,001,0,true,12.9,יחידה,12.9,false,1.0,יחידה,1,חסה גמביט יחידה,IL,כרמלים שדות חדשים,חסה גמביט קראנצית יחידה,1,7290013366665,2022-09-29 06:30
7290027600007,001,001,1,true,12.9,"100 מ""ל",3.91,false,330.0,מיליליטרים,0,בירה אלכסנדר,IL,אלכסנדר,"בירה אלכסנדר בלונד330מ""ל",1,7290013430083,2022-09-30 00:25
7290027600007,001,001,0,true,30.6,100 גרם,10.2,false,300.0,גרמים,0,חמאת קוקוס טבעית,IL,,חמאת קוקוס טבעית,1,7290013433114,2022-09-30 01:05
7290027600007,001,001,1,true,19.9,100 גרם,8.29,false,240.0,גרמים,0,עוגיות כוסמין,IL,,עוגיות כוסמין,1,7290013453068,2022-09-30 00:25
7290027600007,001,001,0,true,17.9,100 גרם,7.46,false,240.0,גרמים,0,עוגיות מרוקאיות,IL,,עוגיות מרוקאיות,1,7290013453105,2022-09-30 00:25
7290027600007,001,001,0,true,20.9,100 גרם,10.45,false,200.0,גרמים,1,מקלוני כוסמין,IL,"דני וגלית בע""מ",מקלוני כוסמין וקצח 200 ג,1,7290013453266,2022-09-30 01:05
7290027600007,001,001,0,true,14.8,100 גרם,7.4,false,200.0,גרמים,0,חרדל דיז'ון אורג,NL,,חרדל דיז'ון אורג,1,7290013521354,2022-09-30 00:30
7290027600007,001,001,0,true,17.0,100 גרם,5.67,false,300.0,גרמים,1,סוכר קוקוס,ID,סנקי,סוכר קוקוס אורגני 300 גר,1,7290013521873,2022-09-30 01:05
7290027600007,001,001,1,true,14.9,"100 מ""ל",4.52,false,330.0,מיליליטרים,0,בירה ג'מס 8.8%,IL,ג'מס,"בירה ג'מס 8.8% 330 מ""ל",1,7290013713049,2022-09-30 00:30
7290027600007,001,001,1,true,28.9,100 גרם,8.76,false,330.0,גרמים,1,רביולי בטטה,IL,דודו איטליאן פרודקטס בע\,רביולי בטטה 330 גרם,1,7290013787408,2022-09-30 01:05
7290027600007,001,001,0,true,27.9,100 גרם,6.98,false,400.0,גרמים,0,פסטרמה שום+צ'לי,IL,טיב טירת צבי 2000,פסטרמה שום וצ'ילי 400 גר,1,7290013906205,2022-09-30 00:30
7290027600007,001,001,0,true,20.9,100 גרם,4.18,false,500.0,גרמים,1,קינואה אדומה,IL,אול אורגני,קינואה אדומה אורגנית 500,1,7290013994295,2022-09-30 00:30
7290027600007,001,001,1,true,18.9,100 גרם,3.15,false,600.0,גרמים,1,אפונה עדינה,BE,פינגווין,אפונה עדינה קפוא אורג600,1,7290013994806,2022-09-30 00:30
7290027600007,001,001,1,true,20.9,100 גרם,11.3,false,185.0,גרמים,1,ממרח עגבניות,IL,"משק דבורים לין בע""\מ",ממרח עגבניות מיובשות185ג,1,7290014001930,2022-09-30 01:05
7290027600007,001,001,0,true,19.9,100 גרם,26.53,false,75.0,גרמים,0,חליטת קמומיל,IL,ויסוצקי,חליטת קמומיל ולימונית25ש,1,7290014002197,2022-09-30 00:30
7290027600007,001,001,0,true,24.9,100 גרם,9.96,false,250.0,גרמים,0,פסטרמה של פעם,IL,יחיעם,פסטרמה של פעם 250גרם,1,7290014046016,2022-09-30 00:30
7290027600007,001,001,1,true,16.4,100 גרם,32.8,false,50.0,גרמים,1,קפסולות לנדוור,IL,---,קפסולות סופרימו10 50גרם,1,7290014066380,2022-09-30 01:05
7290027600007,001,001,1,true,11.8,100 גרם,11.8,false,100.0,גרמים,0,אבקת קרי,IL,תבליני טעם וריח,אבקת קרי 100 גרם,1,7290014217355,2022-09-30 01:05
7290027600007,001,001,0,true,11.9,100 גרם,11.9,false,100.0,גרמים,1,תערובת תבלינים,IL,תבליני טעם וריח,תערובת תיבול קייג'ון100ג,1,7290014217485,2022-09-30 00:30
7290027600007,001,001,1,true,18.9,100 גרם,9.45,false,200.0,גרמים,1,מקלוני קבנוס,IL,עוף טוב,מקלוני קבנוס 200 גרם,1,7290014749078,2022-09-30 00:30
7290027600007,001,001,1,true,16.9,יחידה,16.9,false,1.0,יחידה,1,מגבונים לחים 4יח,IL,די.פי.אל,מגבו.בייביסיטר מבושם72*4,1,7290014855434,2022-09-30 00:30
7290027600007,001,001,0,true,14.5,100 גרם,7.25,false,200.0,גרמים,1,נאצ'וס ברביקיו,DK,אוקיי סנקס,נאצ'וס ברביקיו 200 גרם,1,7290015009324,2022-09-30 01:05
7290027600007,001,001,0,true,6.5,100 גרם,5.42,false,120.0,גרמים,1,חטיפטף פרינוק,CZ,פרוטה פודיווין,חטיפטף פרינוק תפוח 120 ג,1,7290015155823,2022-09-30 01:05
7290027600007,001,001,0,true,20.9,100 גרם,5.23,false,400.0,גרמים,0,מחית קארי ירוקה,TH,,מחית קארי ירוקה,1,7290015164832,2022-09-30 00:30
7290027600007,001,001,1,true,14.9,100 גרם,7.1,false,210.0,גרמים,1,מחית שום וג'ינגר,CN,ליני קאטייאמה פודסטאפס ב,מחית שום וג'ינג'ר 210 גר,1,7290015324748,2022-09-30 01:05
7290027600007,001,001,0,true,23.9,"100 מ""ל",3.19,false,750.0,מיליליטרים,1,יין אדום חצי יבש,IL,"כרמי צבי - אחים סגל בע""\",אדום חצי יבש של סגל750מל,1,7290015350150,2022-09-30 01:05
7290027600007,001,001,1,true,24.7,100 גרם,12.35,false,200.0,גרמים,0,צהובה טבעונית,GR,,צהובה טבעונית,1,7290015599016,2022-09-30 00:30
7290027600007,001,001,1,true,30.9,100 גרם,7.73,false,400.0,גרמים,1,אמפנדה מן הצומח,IL,---,אמפנדה מן הצומח 400 גרם,1,7290015599740,2022-09-30 00:25
7290027600007,001,001,1,true,8.9,100 גרם,5.56,false,160.0,גרמים,1,ג'ינג'ר לבן כבוש,CN,ליו,ג'ינג'ר לבן כבוש 160 גרם,1,7290015603584,2022-09-30 00:30
7290027600007,001,001,1,true,25.9,100 גרם,6.48,false,400.0,גרמים,1,המבורגר+ברוקולי,IL,טבע דלי,המבורגר קלאסי+ברוקולי400,1,7290015673181,2022-09-30 00:30
7290027600007,001,001,1,true,26.9,100 גרם,6.73,false,400.0,גרמים,1,שווארמה מן הצומח,IL,---,שווארמה מן הצומח 400 גרם,1,7290015673464,2022-09-30 00:30
7290027600007,001,001,0,true,25.9,100 גרם,5.76,false,450.0,גרמים,1,לחם פשתן פרוס,IL,ביכורים,לחם פשתן פרוס 450 גרם,1,7290016245318,2022-09-30 01:05
7290027600007,001,001,0,true,16.9,100 גרם,4.83,false,350.0,גרמים,1,לחמניות המבוגר,IL,"ביכורים מזון ומאפה בע""\מ",לחמניות המבוגר כוסמין4יח,1,7290016245806,2022-09-30 01:05
7290027600007,001,001,0,true,20.9,100 גרם,20.9,false,100.0,גרמים,1,סלמון מובחר,IL,---,סלמון מובחר 100גרם,1,7290016314847,2022-09-30 00:30
7290027600007,001,001,1,true,11.9,100 גרם,2.25,false,530.0,גרמים,1,חציל קלוי על האש,GR,קבוצת יבנה,חציל קלוי על האש 530 גרם,1,7290016370959,2022-09-30 01:05
7290027600007,001,001,1,true,19.9,100 גרם,53.78,false,37.0,גרמים,1,חליטת ג'ינג'ר,IL,ויסוצקי,חליטת ג'ינג'ר ולימון 20ש,1,7290016372489,2022-09-30 00:30
7290027600007,001,001,0,true,22.3,100 גרם,12.39,false,180.0,גרמים,1,ממרח פסטו ושמן,IL,מוטי שף,ממרח פסטו ושמן כמהין180ג,1,7290016574012,2022-09-30 01:05
7290027600007,001,001,1,true,23.9,100 גרם,2.81,false,850.0,גרמים,1,יוגורט חלב עיזים,IL,לולי חוות גבעות עולם,יוגורט טבעי חלב עיזים850,1,7290016606522,2022-09-30 00:25
7290027600007,001,001,1,true,9.3,"100 מ""ל",2.33,false,400.0,מיליליטרים,1,משקה קל לימונענע,IL,---,"משקה קל לימונענע 400 מ""ל",1,7290016682052,2022-09-30 00:35
7290027600007,001,001,1,true,40.2,ליטר,13.4,false,3.0,ליטרים,1,משקה קל1*3ליטר,IL,פרי ניב,מארז מהודר משקה קל 1*3ל',1,7290016682267,2022-09-30 01:05
7290027600007,001,001,0,true,19.5,100 גרם,13.0,false,150.0,גרמים,1,מוצרלה פרוסות,IL,מחלבות גד,מוצרלה פרוסות22% 150 גרם,1,7290017065007,2022-09-30 00:30
7290027600007,001,001,0,true,4.5,100 גרם,2.25,false,200.0,גרמים,1,שעועית צ'ילי,IL,"זנלכל בע""\מ",שעועית צ'ילי יכין 200גרם,1,7290017105086,2022-09-30 01:05
7290027600007,001,001,0,true,20.9,100 גרם,5.97,false,350.0,גרמים,1,קוסקוס אפונה,IT,כללי,קוסקוס אפונה אורגני 350ג,1,7290017325835,2022-09-30 00:25
7290027600007,001,001,0,true,26.9,100 גרם,72.7,false,37.0,גרמים,1,תה ירוק+ויטמינים,IL,ויסוצקי,תה ירוק ל.ג'ינג'ר+ויטמ25,1,7290017513829,2022-09-30 01:05
7290027600007,001,001,0,true,24.9,"100 מ""ל",4.98,false,500.0,מיליליטרים,1,MB מרכך יסמין,IL,סאסא קוסמטיקס,MB מרכך לשיער יסמין500מ,1,7290017637631,2022-09-30 01:05
